run_id	model	structure_variant	loss	log_dir
brtd3_raw_apmd_hybrid_rms_scratch_detail	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_scratch_detail	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_10-51-21__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_detail_seed49_E32
brtd3_raw_apmd_hybrid_rms_motion_detrend	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_motion_detrend	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_11-50-38__F1OHEM-brtd3_raw_apmd_hybrid_rms_motion_detrend_seed49_E32
brtd3_raw_apmd_hybrid_rms_multiscale_contrast	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_multiscale_contrast	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_11-22-42__F1OHEM-brtd3_raw_apmd_hybrid_rms_multiscale_contrast_seed49_E32
brtd3_raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_11-20-38__F1OHEM-brtd3_raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast_seed49_E32
brtd3_second_order	DeepPro-Plus_BRTD3	second_order	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_12-23-14__F1OHEM-brtd3_second_order_seed49_E32
brtd3_lfp_shallow	DeepPro-Plus_BRTD3	lfp_shallow	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_11-51-55__F1OHEM-brtd3_lfp_shallow_seed49_E32
brtd3_lfp_deep	DeepPro-Plus_BRTD3	lfp_deep	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_11-54-18__F1OHEM-brtd3_lfp_deep_seed49_E32
brtd3_global_align	DeepPro-Plus_BRTD3	global_align	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_12-49-53__F1OHEM-brtd3_global_align_seed49_E32
brtd3_local_align	DeepPro-Plus_BRTD3	local_align	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_12-14-29__F1OHEM-brtd3_local_align_seed49_E32
brtd3_multiscale_head	DeepPro-Plus_BRTD3	multiscale_head	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_12-17-31__F1OHEM-brtd3_multiscale_head_seed49_E32
brtd3_bidirectional	DeepPro-Plus_BRTD3	bidirectional	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_12-43-14__F1OHEM-brtd3_bidirectional_seed49_E32
brtd3_tdc_dual_stream	DeepPro-Plus_BRTD3	tdc_dual_stream	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_12-39-36__F1OHEM-brtd3_tdc_dual_stream_seed49_E32
